SYMBOL,SERIES,QTY_TRADED,DELIV_QTY,DELIV_PCT
ARVINDPORT,SM,112500.0,79500.0,70.67
ARVSMART,EQ,17857.0,10619.0,59.47
ASAHIINDIA,EQ,115812.0,59791.0,51.63
ASAHISONG,EQ,8687.0,5528.0,63.64
ASAL,EQ,59122.0,18821.0,31.83
ASALCBR,EQ,851149.0,121525.0,14.28
ASHALOG,SM,6000.0,4000.0,66.67
ASHAPURMIN,EQ,345822.0,155275.0,44.9
ASHIANA,EQ,25096.0,10486.0,41.78
ASHIMASYN,EQ,45679.0,30076.0,65.84
ASHOKA,EQ,2873718.0,1336246.0,46.5
ASHOKAMET,EQ,19522.0,15155.0,77.63
ASHOKLEY,EQ,18213013.0,8480956.0,46.57
ASIANENE,EQ,25834.0,16634.0,64.39
ASIANHOTNR,EQ,9776.0,6104.0,62.44
ASIANPAINT,EQ,609128.0,395500.0,64.93
ASIANTILES,EQ,433327.0,241054.0,55.63
ASKAUTOLTD,EQ,628669.0,295198.0,46.96
ASLIND,ST,2000.0,2000.0,100.0
ASPIRE,SM,4000.0,4000.0,100.0
ASTEC,EQ,25739.0,12801.0,49.73
ASTERDM,EQ,813963.0,345184.0,42.41
ASTRAL,EQ,397294.0,220107.0,55.4
ASTRAMICRO,EQ,137990.0,65830.0,47.71
ASTRAZEN,EQ,20033.0,9561.0,47.73
ASTRON,EQ,41164.0,25107.0,60.99
ATALREAL,EQ,5186241.0,2566599.0,49.49
ATAM,EQ,401171.0,101384.0,25.27
ATCENERGY,SM,15600.0,9600.0,61.54
ATGL,EQ,860568.0,251050.0,29.17
ATHERENERG,EQ,1709337.0,339700.0,19.87
ATL,EQ,277633.0,131639.0,47.41
ATLANTAELE,EQ,106072.0,38293.0,36.1
ATLASCYCLE,EQ,3227.0,2252.0,69.79
ATMASTCO,SM,22400.0,12000.0,53.57
ATUL,EQ,16194.0,10136.0,62.59
ATULAUTO,EQ,49011.0,14282.0,29.14
AUBANK,EQ,710153.0,337139.0,47.47
AURDIS,SM,1875.0,1875.0,100.0
AURIGROW,EQ,2435341.0,1259119.0,51.7
AURIONPRO,EQ,277762.0,97987.0,35.28
AUROPHARMA,EQ,3557298.0,1423547.0,40.02
AURUM,EQ,40137.0,28190.0,70.23
AUSOMENT,EQ,7703.0,3677.0,47.73
AUTOAXLES,EQ,15288.0,9095.0,59.49
AUTOBEES,EQ,212962.0,117394.0,55.12
AUTOIETF,EQ,421242.0,211342.0,50.17
AUTOIND,EQ,54335.0,43059.0,79.25
AVADHSUGAR,EQ,13051.0,9388.0,71.93
AVALON,EQ,102836.0,38628.0,37.56
AVANTEL,EQ,1062030.0,516593.0,48.64
AVANTIFEED,EQ,159918.0,79854.0,49.93
AVG,EQ,28107.0,24189.0,86.06
AVIANSH,SM,2000.0,2000.0,100.0
AVL,EQ,145387.0,71681.0,49.3
AVONMORE,EQ,154720.0,106922.0,69.11
AVPINFRA,SM,132800.0,86400.0,65.06
AVROIND,EQ,17958.0,13800.0,76.85
AVTNPL,EQ,12785614.0,1363695.0,10.67
AWFIS,EQ,63001.0,34172.0,54.24
AWHCL,EQ,81546.0,37107.0,45.5
AWL,EQ,1525168.0,965010.0,63.27
AXISBANK,EQ,4106607.0,3095672.0,75.38
AXISBNKETF,EQ,436.0,254.0,58.26
AXISBPSETF,EQ,13425.0,7609.0,56.68
AXISCETF,EQ,1328.0,1079.0,81.25
AXISGOLD,EQ,811212.0,418303.0,51.57
AXISHCETF,EQ,6167.0,4694.0,76.11
AXISILVER,EQ,400746.0,174655.0,43.58
AXISNIFTY,EQ,9221.0,6524.0,70.75
AXISTECETF,EQ,973.0,847.0,87.05
AXISVALUE,EQ,20676.0,16403.0,79.33
AXITA,EQ,716099.0,429824.0,60.02
AXSENSEX,EQ,2310.0,456.0,19.74
AYMSYNTEX,EQ,45330.0,25031.0,55.22
AZAD,EQ,155524.0,87307.0,56.14
BABAFP,SM,8000.0,6400.0,80.0
BAGDIGITAL,SM,86400.0,59200.0,68.52
BAGFILMS,EQ,72931.0,58574.0,80.31
BAHETI,SM,16125.0,9000.0,55.81
BAIDFIN,EQ,36435.0,31052.0,85.23
BAJAJ-AUTO,EQ,261013.0,100941.0,38.67
BAJAJCON,EQ,1173745.0,707093.0,60.24
BAJAJELEC,EQ,836750.0,161357.0,19.28
BAJAJFINSV,EQ,586237.0,358821.0,61.21
BAJAJHCARE,EQ,114514.0,56190.0,49.07
BAJAJHFL,EQ,2620645.0,1587066.0,60.56
BAJAJHIND,EQ,4593778.0,2114957.0,46.04
BAJAJHLDNG,EQ,29810.0,18822.0,63.14
BAJAJINDEF,EQ,19435.0,11887.0,61.16
BAJEL,EQ,120467.0,68303.0,56.7
BAJFINANCE,EQ,5315632.0,3457468.0,65.04
BALAJEE,EQ,40441.0,29466.0,72.86
BALAJIPHOS,ST,4000.0,4000.0,100.0
BALAJITELE,EQ,105988.0,55741.0,52.59
BALAMINES,EQ,15336.0,7705.0,50.24
BALAXI,EQ,38959.0,27585.0,70.81
BALKRISHNA,EQ,21213.0,9317.0,43.92
BALKRISIND,EQ,186483.0,118429.0,63.51
BALMLAWRIE,EQ,73810.0,37506.0,50.81
BALPHARMA,EQ,3942.0,3104.0,78.74
BALRAMCHIN,EQ,237121.0,158187.0,66.71
BALUFORGE,EQ,594171.0,267629.0,45.04
BANARBEADS,EQ,55520.0,28315.0,51.0
BANARISUG,EQ,544.0,401.0,73.71
BANCOINDIA,EQ,161270.0,59100.0,36.65
BANDHANBNK,EQ,61847492.0,27138802.0,43.88
BANG,EQ,16670.0,10589.0,63.52
BANKA,EQ,2476.0,1394.0,56.3
BANKBARODA,EQ,23120256.0,11290507.0,48.83
BANKBEES,EQ,441425.0,221798.0,50.25
BANKBETF,EQ,10815.0,10068.0,93.09
BANKETF,EQ,25428.0,25113.0,98.76
BANKETFADD,EQ,3571.0,2015.0,56.43
BANKIETF,EQ,414110.0,285663.0,68.98
BANKINDIA,EQ,19520445.0,7597410.0,38.92
BANKNIFTY1,EQ,11786.0,9082.0,77.06
BANKPSU,EQ,46730.0,28983.0,62.02
BANSALWIRE,EQ,262929.0,178543.0,67.91
BANSWRAS,EQ,16873.0,12550.0,74.38
BARFLEX,SM,14000.0,8000.0,57.14
BASF,EQ,6304.0,3829.0,60.74
BASILIC,SM,30300.0,23100.0,76.24
BASML,EQ,85745.0,59946.0,69.91
BATAINDIA,EQ,108794.0,44192.0,40.62
BAWEJA,SM,9600.0,8000.0,83.33
BAYERCROP,EQ,13502.0,7602.0,56.3
BBETF0432,EQ,2561.0,2468.0,96.37
BBL,EQ,13133.0,7758.0,59.07
BBNPNBETF,EQ,729.0,724.0,99.31
BBNPPGOLD,EQ,28614.0,26540.0,92.75
BBOX,EQ,178742.0,83031.0,46.45
BBTC,EQ,31644.0,15062.0,47.6
BBTCL,EQ,7364.0,2382.0,32.35
BCG,EQ,4166804.0,2641986.0,63.41
BCLIND,EQ,357524.0,213907.0,59.83
BDL,EQ,1561910.0,408364.0,26.15
BEACON,SM,42000.0,32000.0,76.19
BEARDSELL,EQ,37717.0,15644.0,41.48
BECTORFOOD,EQ,38405.0,20664.0,53.81
BEDMUTHA,EQ,6506.0,4756.0,73.1
BEL,EQ,51342361.0,21493147.0,41.86
BELLACASA,EQ,5217.0,3572.0,68.47
BELRISE,EQ,1939085.0,1094328.0,56.44
BEML,EQ,349959.0,123460.0,35.28
BEPL,EQ,410897.0,184837.0,44.98
BERGEPAINT,EQ,188516.0,103836.0,55.08
BESTAGRO,EQ,22246.0,14097.0,63.37
BETA,SM,1155.0,840.0,72.73
BEWLTD,SM,4500.0,4500.0,100.0
BFINVEST,EQ,15245.0,8857.0,58.1
BFSI,EQ,252567.0,180355.0,71.41
BHADORA,SM,10800.0,8400.0,77.78
BHAGCHEM,EQ,12111.0,7059.0,58.29
BHAGERIA,EQ,305993.0,116158.0,37.96
BHAGYANGR,EQ,411279.0,217866.0,52.97
BHANDARI,EQ,195154.0,127759.0,65.47
BHARATFORG,EQ,793616.0,547011.0,68.93
BHARATRAS,EQ,5082.0,2146.0,42.23
BHARATSE,EQ,415724.0,229551.0,55.22
BHARATWIRE,EQ,282387.0,104123.0,36.87
BHARTIARTL,EQ,4659723.0,3397200.0,72.91
BHARTIHEXA,EQ,69190.0,33897.0,48.99
BHEL,EQ,23280006.0,6898376.0,29.63
BIGBLOC,EQ,59611.0,43677.0,73.27
BIKAJI,EQ,92287.0,45704.0,49.52
BIKEWO,SM,32000.0,26000.0,81.25
BIL,EQ,6131.0,4565.0,74.46
BILVYAPAR,EQ,10563.0,7372.0,69.79
BIOCON,EQ,2113126.0,1204951.0,57.02
BIOFILCHEM,EQ,36407.0,23467.0,64.46
BIRET,RR,70110.0,60116.0,85.75
